aggregation_level,take_count,total_frames,evaluated_frames,gesture_frames,no_gesture_frames,no_hand_frames,unannotated_frames,gesture_fraction,no_gesture_fraction,no_hand_fraction,gesture_duration_frames_mean,gesture_duration_frames_median,gesture_duration_frames_std,gesture_duration_frames_q1,gesture_duration_frames_q3,gesture_duration_frames_min,gesture_duration_frames_max,gesture_duration_s_mean,gesture_duration_s_median,gesture_duration_s_std,gesture_duration_s_q1,gesture_duration_s_q3,gesture_duration_s_min,gesture_duration_s_max,public_subject_id,background,gesture_id
subject_gesture,30,4951,4951,1537,3414,0,0,0.31044233488184203,0.689557665118158,0.0,51.233333333333334,52.0,6.584639038274445,47.25,54.0,37.0,70.0,2.561666666666667,2.6,0.32923195191372223,2.3625,2.7,1.85,3.5,P03,,P
subject_gesture,30,4998,4998,1516,3481,1,0,0.3033213285314126,0.6964785914365746,0.00020008003201280514,50.53333333333333,51.5,7.775883732161378,47.25,55.0,27.0,66.0,2.526666666666667,2.575,0.38879418660806886,2.3625,2.75,1.35,3.3,P03,,R
subject_gesture,30,5038,5038,1555,3483,0,0,0.3086542278682017,0.6913457721317984,0.0,51.833333333333336,53.0,9.288789436487528,47.5,57.75,28.0,65.0,2.5916666666666672,2.65,0.4644394718243765,2.375,2.8875,1.4,3.25,P03,,S
subject_gesture,30,5040,5040,1463,3575,2,0,0.2902777777777778,0.7093253968253969,0.0003968253968253968,48.766666666666666,50.5,9.503840723925624,43.25,55.5,32.0,66.0,2.4383333333333335,2.525,0.4751920361962811,2.1625,2.775,1.6,3.3,P03,,T
subject_gesture,30,4854,4854,1468,3378,8,0,0.30243098475484137,0.695920889987639,0.0016481252575195715,48.93333333333333,49.0,9.005490024130426,42.25,54.0,31.0,72.0,2.4466666666666668,2.45,0.45027450120652135,2.1125,2.7,1.55,3.6,P03,,U
subject_gesture,30,5063,5063,1605,3456,2,0,0.3170057278293502,0.6825992494568438,0.00039502271380604387,53.5,53.0,5.63088772323904,50.0,57.0,42.0,65.0,2.675,2.65,0.281544386161952,2.5,2.85,2.1,3.25,P03,,V
subject_gesture,30,4945,4945,1602,3343,0,0,0.32396359959555104,0.6760364004044489,0.0,53.4,53.0,8.360828205139851,50.0,56.0,31.0,74.0,2.6700000000000004,2.65,0.41804141025699265,2.5,2.8,1.55,3.7,P03,,W
subject_gesture,30,5052,5052,1591,3461,0,0,0.3149247822644497,0.6850752177355502,0.0,53.03333333333333,52.5,7.227740302823384,48.0,58.0,39.0,69.0,2.6516666666666677,2.625,0.3613870151411692,2.4,2.9,1.95,3.45,P03,,Y
subject_gesture,30,4066,4066,1252,2814,0,0,0.30791933103787505,0.692080668962125,0.0,41.733333333333334,41.5,8.808042302089738,36.0,46.0,26.0,62.0,2.0866666666666664,2.075,0.4404021151044869,1.8,2.3,1.3,3.1,P04,,A
subject_gesture,30,3881,3881,1262,2619,0,0,0.32517392424632824,0.6748260757536717,0.0,42.06666666666667,42.0,9.909707303981017,39.0,49.5,16.0,58.0,2.1033333333333335,2.1,0.49548536519905084,1.95,2.475,0.8,2.9,P04,,B
